#MIN=0	-3	-1000	0	
#MAX=320	3	1000	5	
#SCALE=100	1	500	1	
#DEC=1	3	0	3	
#DEF="Zeit" t / s	"Strom" I_A1 / A	"Magn. Flussdichte" B_B1 / mT	"Frequenz" f / Hz	
6.2	0	8	0	
6.3	0.0345	12.5	0	
6.4	0.0735	21.5	0	
6.5	0.111	33	0	
6.6	0.141	44	0	
6.7	0.1725	56	0	
6.8	0.177	61	0	
6.9	0.1815	63	0	
7	0.183	64	0	
7.1	0.183	64.5	0	
7.2	0.183	64.5	0	
7.3	0.1815	64.5	0	
7.4	0.186	65	0	
7.5	0.195	67.5	0	
7.6	0.204	71	0	
7.7	0.2085	73.5	0	
7.8	0.2295	80	0	
7.9	0.2295	82.5	0	
8	0.228	83	0	
8.1	0.2295	83.5	0	
8.2	0.228	83.5	0	
8.3	0.228	84	0	
8.4	0.2295	84	0	
8.5	0.231	84	0	
8.6	0.2355	85	0	
8.7	0.234	85.5	0	
8.8	0.24	87	0	
8.9	0.249	90	0	
9	0.252	93	0	
9.1	0.255	94	0	
9.2	0.264	97	0	
9.3	0.2835	102.5	0	
9.4	0.285	105	0	
9.5	0.285	106.5	0	
9.6	0.2835	107	0	
9.7	0.288	107	0	
9.8	0.2895	108.5	0	
9.9	0.2985	111.5	0	
10	0.306	114.5	0	
10.1	0.3135	117.5	0	
10.2	0.321	120.5	0	
10.3	0.3255	123.5	0	
10.4	0.327	125	0	
10.5	0.3285	126	0	
10.6	0.3315	127.5	0	
10.7	0.3375	128.5	0	
10.8	0.345	132	0	
10.9	0.348	133.5	0	
11	0.3525	135.5	0	
11.1	0.36	138	0	
11.2	0.3705	142	0	
11.3	0.3795	146	0	
11.4	0.387	149.5	0	
11.5	0.396	153	0	
11.6	0.3975	155	0	
11.7	0.4095	159	0	
11.8	0.4065	161	0	
11.9	0.4065	160.5	0	
12	0.4035	160.5	0	
12.1	0.4155	162.5	0	
12.2	0.456	175.5	0	
12.3	0.4785	186.5	0	
12.4	0.492	194.5	0	
12.5	0.4965	197.5	0	
12.6	0.501	199.5	0	
12.7	0.519	206.5	0	
12.8	0.528	211.5	0	
12.9	0.5325	214	0	
13	0.537	216.5	0	
13.1	0.543	219	0	
13.2	0.549	221.5	0	
13.3	0.552	223	0	
13.4	0.5535	224.5	0	
13.5	0.5565	225.5	0	
13.6	0.558	226	0	
13.7	0.5595	226	0	
13.8	0.5595	226.5	0	
13.9	0.5595	227	0	
14	0.5595	227	0	
14.1	0.5595	227	0	
14.2	0.561	227	0	
14.3	0.5595	227	0	
14.4	0.5595	227	0	
14.5	0.5595	227	0	
14.6	0.5625	227	0	
14.7	0.561	227	0	
14.8	0.5595	227.5	0	
14.9	0.561	227	0	
15	0.561	227	0	
15.1	0.5625	227.5	0	
15.2	0.5595	227.5	0	
15.3	0.5595	227.5	0	
15.4	0.5595	227.5	0	
15.5	0.561	227.5	0	
15.6	0.5595	227.5	0	
15.7	0.561	227.5	0	
15.8	0.5595	227	0	
15.9	0.561	227	0	
16	0.5595	227	0	
17	0.561	227.5	0	
17.1	0.5625	227.5	0	
17.2	0.564	228	0	
17.3	0.564	228	0	
18.4	0.564	228.5	0	
18.5	0.5625	228.5	0	
18.6	0.5655	229	0	
18.7	0.573	231.5	0	
18.801	0.579	234.5	0	
18.901	0.585	236.5	0	
19.001	0.5895	238.5	0	
19.101	0.597	241	0	
19.201	0.6	243	0	
19.301	0.6075	245	0	
19.401	0.612	247.5	0	
19.501	0.615	249.5	0	
19.601	0.6195	251	0	
19.701	0.6195	252	0	
19.801	0.6225	253	0	
19.901	0.6255	253.5	0	
20.001	0.627	254.5	0	
20.101	0.633	256	0	
20.201	0.6345	257.5	0	
